canonical_name
3 3 -diindolylmethane dim
4-hydroxy isoleucine
5-htp
5-hydroxitryptofan
5-hydroxytryptophan
abelmoschus esculentus
abies alba
abies balsamea
abies pectinata
acacia arabica
acacia nilotica
acacia rigidula
acacia senegal
acacia verek
acanthopanax senticosus
acca sellowiana
acer nigrum
acer rubrum
acer saccharum
acetyl l-carnitine
acetylcystein
acetylkarnitin
achillea millefolium
achras zapota
actinidia arguta
actinidia chinensis
actinidia deliciosa
activated charcoal
adansonia digitata
adhatoda vasica
adiantum capillus veneris
adrafinil
aegopodium podagraria
aesculus hippocastanum
aframomum melegueta
agaricus bisporus
agaricus blazei
agathosma betulina
agave sisalana
agave tequilana
agmatine 4-aminobutyl guanidine sulfate
ajuga reptans
alaria esculenta
albatrellus ovinus
albizia julibrissin
allium chinense
allium fistulosum
allium ramosum
allium scorodoprasum l
allium tuberosum
allium ursinum
aloe barbadensis
aloe ferox
aloysia citrodora
alpha-ketoglutarate calcium
alpha-hydroxy-isocaproic acid
alpinia galanga
alsidium helminthochorton
althaea officinalis
amacetam
amaranthus caudatus
amaranthus cruentus
amaranthus edulis
amaranthus flavus
amaranthus hypocondriacus
amaranthus leucocarpus
amaranthus mantegacianus
amaranthus paniculatus
amaranthus tricolor
ambrosia artemisiifolia
amelanchier alnifolia
amerikansk brakved
amphilophium lactiflorum
anchusa officinalis nbsp l
andrographis paniculata
angelica archangelica l
angelica dahurica
angelica pubescens
angelica sinensis
aniba canelilla
annona cherimola
annona muricata
annona reticulata
annona squamosa
antennaria dioica
anthemis nobilis
aphanizomenon flos-aquae
aphanizomenon flosaquae var flosaquae
apis mellifera
apricot kernel prunus armeniaca l
aquafaba quot chickpea water quot
arabinogalactan
arbutus unedo
arctium lappa
areca catechu
arenga pinnata
aristotelia chilensis
armoracia rusticana
aronia melanocarpa
artemisia annua
artemisia vulgaris l
arthrospira platensis
artocarpus altilis
artocarpus communis
artocarpus heterophyllus
artocarpus incisa
artocarpus integrifolius
ascophyllum laevigata
ascophyllum nodosum
asimina triloba
asparagus acutifolius l and asparagus aphyllus l
asparagus racemosus
asphaltum punjabianum
aster tripolium
astragalus membranaceus
atriplex hortensis
auricularia polytricha
auxenochlorella protothecoides
auxenochlorella pyrenoidosa
avena sativa l
bacillus subtilis
backhousia citriodora
bacopa monnieri
bactris balanoidea
bactris gasipaes
bactris major
bambusa spp
bambusa vulgaris schrad ex j c wendl
barosma betulina
basella alba
basella rubra
benincasa hispida
bertholletia excelsa
beta-alanine
beta-galactosidase from aspergillus oryzae
beta-hydroxy beta methylbutyrate hmb nbsp
betaine
betula alba
betula alleghaniensis
betula alnoides
betula pendula
betula pubescens
bifidobacterium adolescentis
bifidobacterium animalis
bifidobacterium bifidum
bifidobacterium breve
bifidobacterium longum
bignonia lactiflora
bignonia rigescens
bixa orellana
boldo
borago officinalis nbsp l
borassus flabellifer
borojoa patinoi
borojoa sorbilis
boron glycinate and boron bisglycinate
boswellia serrata
bovine lactoferrin
bovine pancreas
bovine spleen
brassica eruca
brassica juncea
brassica nigra
brevibacterium linens
brewer s spent grain
brewer s spent grain fiber bsg-f and brewer s spent grain protein bsg-p
bromus grossus
bromus secalinus
bulbine natalensis
cajanus cajan
cakile maritima nbsp scop
calendula officinalis nbsp l
calluna vulgaris
camelina sativa
camellia furfuracea
camelus dromedarius
canarium indicum l
canarium ovatum engl
cannabidiol
cannabinoids
cannabis sativa l
capparis spinosa
capsicum frutescens
caralluma fimbriata
carduus benedictus
carica papaya
carica pentagona
carissa carandus
carnosine
carthamus tinctorius
carum carvi
casein hydrolysate containing elevated levels of the tri-peptides l-valyl-l-prolyl-l-proline vpp and l-isoleucyl-l-prolyl-l-proline ipp
castanea crenata
castanea mollissima blume
castanea sativa
celastrus orbiculatus
celtis australis
centaurea cyanus
centella asiatica
centrophorus squamosus
ceratonia siliqua
cervus elaphus
cetraria islandica
chamaemelum nobile
chenopodium album nbsp l
chenopodium bonus-henricus
chenopodium pallidicaule
chenopodium quinoa
chioca
chlamydomonas reinhardtii
chlorella pyrenoidosa
chlorella sorokiniana
chlorella vulgaris
choline succinate 2 1 salt solution
chondrus crispus
chrysanthellum americanum
chrysanthellum indicum
chrysanthemum morifolium
chrysanthemum parthenium
cichorium intybus
cinnamomum verum
cinnamomum zeylanicum
cistanche deserticola
cistus x incanus
citrus aurantium
citrus hystrix
citrus junos
citrus mitis blanco
clinoptilolite
clitoria ternatea
cnicus benedictus
cnidium monnieri
codonopsis pilosula
coenzyme q10
coffea sp
coix lacryma-jobi
cola nitida
coleus forskohlii
collagen
colloidal silver
colocasia antiquorum
colocasia esculenta
colostrum
combretum micranthum
commiphora subglauca
companilactobacillus alimentarius
companilactobacillus farciminis
composed product derived from sea salt
conjugated linoleic acid
consolida regalis
coprinus comatus
corallina officinalis
corchorus olitorius
cordyceps militaris
coriolus versicolor
cortinarius caperatus
corylus avellana
coutarea latiflora
crambe maritima l
crataegus laevigata
crataegus monogyna
crataegus pinnatifida
creatine citrate
creatine alpha-ketoglutarate
creatine malate
creatine monohydrate
creatine pyruvate
crepidula fornicata
crocodylus nilotikus
cucurbita pepo
curcuma zedoaria
curcumin
curcuminoids
cyamopsis tetragonoloba
cyclopia sp
cyperus esculentus
d-mannose
dha and epa ethyl esters from schizochytrium sp microalga
dmae dimethylaminoethanol and its salts
dnp
dacryodes edulis
daucus carota l
daucus gingidium
delphinium consolida l
dendrobium nobile
dendrocalamus asper
dendrocalamus latiflorus
deodorised cocoa butter
desmodesmus communis
desmodesmus subspicatus
desmodium gangeticum
desugared fermented orange nbsp
devil s claw
dihydrotakisterol
dijodtyronin
dimetylaminoetanol
dimorphandra mollis
dinitrofenol
dioscorea alata
dioscorea esculenta
dioscorea rotundata
diosmectite
diosmin
dipteryx alata
distictis lactiflora
distictis rigescens
dj vulsklo
dolichos lablab
dolichos purpureus
dunaliella salina
durio zibethinus
durvillaea antarctica
echinacea augustifolia
echinacea pallida
echinacea purpureae
echium vulgare nbsp l
ecklonia cava kjellman 1885
edible bird nest
efedrin
eisenia bicyclis
elder
eleocharis dulcis
eleutherococcus senticosus
emblica officinalis
empetrum nigrum
emu
enobosarm
enterococcus durans
enterococcus lactis
ephedra
epilobium angustifolium l
epimedium brevicornum maxim
epimedium grandiflorum
epimedium macranthum
epimedium sagitattum
equisetum arvense
eragrostis tef
ergokalciferol
eriobotrya japonica
eruca sativa
erythroglossum laciniatum
eschscholzia californica
ethyl esters concentrated from fish oils
eucheuma denticulatum
eucheuma horridum
eugenia floribunda
eugenia michelii
eugenia spp
eugenia uniflora
euglena gracilis
euphausia superba
euryale ferox
eurycoma longifolia
euterpe edulis
euterpe spp
eutrema japonicum nbsp
evodia lepta
eyebright
fagus sylvatica l
fallopia japonica
feijoa sellowiana
fenetylamin
fenfluramin
fenibut
fenolftalein
fenylalanin
fenyletylamin
fenylpiracetam
fermented coconut gel
fermented wheat germ
ferula hermonis
ferulic acid
festuca arundinacea
feverfew
ficus carica
fish
fj llkvanne
fj rilsranka
flibanserin
flour from buckwheat seedlings with a high spermidine content
foeniculum vulgare
folsyra
fonturacetam
forskolin
fragaria x ananassa duchesne ex weston duchesne ex rozier
frangula alnus
fraxinus ornus
fructilactobacillus sanfranciscensis
fucus nodosus
fucus serratus
fucus spiralis
fucus vesiculosus
fulvic acid
fytomenadion
gaba
gadus macrocephalus
galium odoratum nbsp l
galium verum nbsp l
gallus gallus domesticus
gamma-aminosm rsyra
ganoderma lucidum
garcinia cambogia
garcinia gummi-gutta l n robson
garcinia mangostana
gelidium amansii
gelidium corneum
gentiana lutea
gentianella alborosea
geotrichum candidum
germinated hemp produced by malting
gigantochloa albociliata
gigantochloa levis
ginkgo biloba
ginseng
glebionis coronaria nbsp l nbsp
glucomannan konjac mannan
glucosamine sulphate
glukosamin
glycine max
gossypium sp
gracilaria gracilis
gracilaria verrucosa
gracilariopsis longissima
graesiella emersonii
griffonia simplicifolia
grifola frondosa
gypsophila struthium
haematococcus lacustris
hamamelis virginiana
harpagophytum procumbens
helianthus annuus l
helichrysum italicum
helix aspersa maxima
hericium erinaceus
hesperidin
heterochlorella luteoviridis
heyndrickxia coagulans
hibiscus esculentus
hibiscus rosa sinensis
hibiscus sabdariffa l nbsp
hieracium pilosella
himanthalia elongata
hippopha rhamnoides
hirneola polytricha
holothuria fuscogilva
holothuria scabra
holothuria whitmaiei
honckenya peploides l
hoodia gordonii
hoodia parviflora n e br
hordeum vulgare
hovenia dulcis
humic acid
humulus lupus
huperzin a
hydnum repandum
hydro-alcoholic of porphyra yezoensis
hydrocotyle asi tica
hydrolysed bovine cartilage product
hydroxiefedrin
hydroxy citric acid
hygrophorus camarophyllus
hylocereus megalanthus
hylocereus undatus
hypericum perforatum
hypoxis hemerocallidea
hypoxis rooperi
hyssopus officinalis
h stkastanj
