policy_item_id,canonical,entity_text
677319,"3, 3'-Diindolylmethane (DIM)","[CANON_EN] 3, 3'-Diindolylmethane (DIM)"
677344,4-hydroxy isoleucine,[CANON_EN] 4-hydroxy isoleucine
677369,5-hydroxytryptophan,[CANON_EN] 5-hydroxytryptophan
677449,Abies balsamea,"[CANON_LAT] Abies balsamea
[SYN_LAT] Abies balsamea f. balsamea"
677479,Abies pectinata,"[CANON_LAT] Abies pectinata
[SYN_LAT] Abies alba Mill."
677504,Acacia arabica,"[CANON_LAT] Acacia arabica
[SYN_LAT] Acacia nilotioca (L.) Delile"
677529,Acacia nilotica,"[CANON_LAT] Acacia nilotica
[SYN_LAT] Acacia arabica"
677558,Acacia rigidula,"[CANON_LAT] Acacia rigidula
[SYN_UNK] Blackbrush Acacia"
677638,Acacia verek,"[CANON_LAT] Acacia verek
[SYN_LAT] Acacia senegal"
677663,Acanthopanax senticosus,"[CANON_LAT] Acanthopanax senticosus
[SYN_LAT] Eleutherococcus senticosus Maxim."
677688,Acca sellowiana,"[CANON_LAT] Acca sellowiana
[SYN_LAT] Acca sellowiana var. rugosa (Mattos) Mattos"
677721,Acer nigrum,[CANON_LAT] Acer nigrum
677746,Acer rubrum,[CANON_LAT] Acer rubrum
677771,Acer saccharum,"[CANON_LAT] Acer saccharum
[SYN_LAT] Acer barbatum f. commune Ashe"
677809,Acetyl L-carnitine,[CANON_EN] Acetyl L-carnitine
677846,Achillea millefolium,"[CANON_LAT] Achillea millefolium
[SYN_LAT] Achillea millefolium f. pannonica (Scheele) J.Weiss"
677876,Achras zapota,"[CANON_LAT] Achras zapota
[SYN_LAT] Manilkara zapota (L.) P.Royen"
677901,Actinidia arguta,[CANON_LAT] Actinidia arguta
677927,Actinidia chinensis,"[CANON_LAT] Actinidia chinensis
[SYN_LAT] Actinidia chinensis f. jinggangshanensis C.F.Liang"
677952,Actinidia deliciosa,"[CANON_LAT] Actinidia deliciosa
[SYN_LAT] Actinidia chinensis f. chlorocarpa C.F.Liang"
677991,Adhatoda vasica,[CANON_LAT] Adhatoda vasica
678027,Aegopodium podagraria,"[CANON_LAT] Aegopodium podagraria
[SYN_LAT] Aegopodium angelicifolium Salisb."
678056,Aframomum melegueta,"[CANON_LAT] Aframomum melegueta
[SYN_LAT] Aframomum melegueta var. violaceum (Ridl.) K.Schum."
678118,Agaricus blazei,"[CANON_LAT] Agaricus blazei
[SYN_LAT] Agaricus brasiliensis [SEP] Agaricus subrufescens
[SYN_UNK] rufotegulis"
678152,Agathosma betulina,"[CANON_LAT] Agathosma betulina
[SYN_UNK] Barosma betulina Bartl. & H.L.Wendl."
678204,Agave sisalana,"[CANON_LAT] Agave sisalana
[SYN_UNK] Agave amaniensis Trel. & Nowell"
678239,Agave tequilana,"[CANON_LAT] Agave tequilana
[SYN_UNK] Agave angustifolia subsp. tequilana (F.A.C.Weber) Valenz.-Zap. & Nabhan"
678265,Agmatine (4-aminobutyl) guanidine sulfate,[CANON_EN] Agmatine (4-aminobutyl) guanidine sulfate
678290,Ajuga reptans,"[CANON_LAT] Ajuga reptans
[SYN_LAT] Ajuga abnormis Rouy"
678346,Albatrellus ovinus,[CANON_LAT] Albatrellus ovinus
678377,Albizia julibrissin,[CANON_LAT] Albizia julibrissin
678407,Allium chinense,[CANON_LAT] Allium chinense
678432,Allium fistulosum,"[CANON_LAT] Allium fistulosum
[SYN_LAT] Allium bouddae Debeaux"
678470,Allium ramosum,[CANON_LAT] Allium ramosum
678495,Allium scorodoprasum L.,[CANON_LAT] Allium scorodoprasum L.
678520,Allium tuberosum,[CANON_LAT] Allium tuberosum
678559,Allium ursinum,[CANON_LAT] Allium ursinum
678609,Aloe ferox,[CANON_LAT] Aloe ferox
678650,Aloysia citrodora,[CANON_LAT] Aloysia citrodora
678675,Alpha-Ketoglutarate Calcium,[CANON_EN] Alpha-Ketoglutarate Calcium
678710,Alpha–hydroxy-isocaproic Acid,[CANON_EN] Alpha–hydroxy-isocaproic Acid
678735,Alpinia galanga,"[CANON_LAT] Alpinia galanga
[SYN_LAT] Alpinia alba (Retz.) Roscoe"
678805,Althaea officinalis,"[CANON_LAT] Althaea officinalis
[SYN_UNK] Althaea kragujevacensis Pančić"
678845,Amaranthus caudatus,"[CANON_LAT] Amaranthus caudatus
[SYN_LAT] Amaranthus abyssinicus hort. ex L.H.Bailey [SEP] Amaranthus paniculatus"
678886,Amaranthus cruentus,"[CANON_LAT] Amaranthus cruentus
[SYN_LAT] Amaranthus anacardana Hook.f."
678922,Amaranthus edulis,[CANON_LAT] Amaranthus edulis
678947,Amaranthus flavus,[CANON_LAT] Amaranthus flavus
678972,Amaranthus hypocondriacus,[CANON_LAT] Amaranthus hypocondriacus
679008,Amaranthus leucocarpus,[CANON_LAT] Amaranthus leucocarpus
679033,Amaranthus mantegacianus,[CANON_LAT] Amaranthus mantegacianus
679058,Amaranthus paniculatus,[CANON_LAT] Amaranthus paniculatus
679083,Amaranthus tricolor,[CANON_LAT] Amaranthus tricolor
679108,Ambrosia artemisiifolia,[CANON_LAT] Ambrosia artemisiifolia
679133,Amelanchier alnifolia,[CANON_LAT] Amelanchier alnifolia
679219,Anchusa officinalis L.,[CANON_LAT] Anchusa officinalis L.
679244,Andrographis paniculata,[CANON_LAT] Andrographis paniculata
679279,Angelica archangelica L.,"[CANON_LAT] Angelica archangelica L.
[SYN_LAT] Angelica archangelica subsp. norwegica (Rupr.) Nordh."
679304,Angelica dahurica,[CANON_LAT] Angelica dahurica
679329,Angelica pubescens,[CANON_LAT] Angelica pubescens
679354,Angelica sinensis,"[CANON_LAT] Angelica sinensis
[SYN_LAT] Angelica polymorpha var. sinensis Oliv."
679424,Annona cherimola,"[CANON_LAT] Annona cherimola
[SYN_LAT] Annona pubescens Salisb."
679462,Annona muricata,"[CANON_LAT] Annona muricata
[SYN_LAT] Annona bonplandiana Kunth"
679505,Annona reticulata,"[CANON_LAT] Annona reticulata
[SYN_LAT] Annona excelsa Kunth"
679542,Annona squamosa,"[CANON_LAT] Annona squamosa
[SYN_LAT] Annona asiatica L."
679584,Antennaria dioica,"[CANON_LAT] Antennaria dioica
[SYN_LAT] Antennaria dioica var. australis Gris"
679640,Aphanizomenon flosaquae var. flosaquae,[CANON_LAT] Aphanizomenon flosaquae var. flosaquae
679673,Apis mellifera,[CANON_LAT] Apis mellifera
679706,Apricot Kernel (Prunus Armeniaca L.),[CANON_EN] Apricot Kernel (Prunus Armeniaca L.)
679790,Arbutus unedo,"[CANON_LAT] Arbutus unedo
[SYN_LAT] Arbutus cassinifolia Steud."
679856,Areca catechu,"[CANON_LAT] Areca catechu
[SYN_LAT] Areca catechu f. communis Becc."
679881,Aristotelia chilensis,[CANON_LAT] Aristotelia chilensis
679986,Artemisia vulgaris L.,[CANON_LAT] Artemisia vulgaris L.
680011,Arthrospira platensis,"[CANON_LAT] Arthrospira platensis
[SYN_UNK] Arthrospira jenneri var. platensis (Gomont) Guarrera & Kühnemann 0 [SEP] Oscillatoria platensis (Gomont) Bourrelly 1970 [SEP] Spirulina jenneri var. platensis Nordstedt 1884 [SEP] Spirulina platensis (Gomont) Geitler 1925"
680147,Artocarpus incisa,[CANON_LAT] Artocarpus incisa
680172,Artocarpus integrifolius,[CANON_LAT] Artocarpus integrifolius
680260,Asimina triloba,[CANON_LAT] Asimina triloba
680296,Asparagus acutifolius L and Asparagus aphyllus L,[CANON_LAT] Asparagus acutifolius L and Asparagus aphyllus L
680321,Asparagus racemosus,[CANON_LAT] Asparagus racemosus
680354,Aster tripolium,"[CANON_LAT] Aster tripolium
[SYN_LAT] Tripolium pannonicum (Jacq.) Dobrocz."
680420,Atriplex hortensis,[CANON_LAT] Atriplex hortensis
680460,Auricularia polytricha,"[CANON_LAT] Auricularia polytricha
[SYN_LAT] Hirneola polytricha"
680497,Auxenochlorella protothecoides,"[CANON_LAT] Auxenochlorella protothecoides
[SYN_UNK] Auxenochlorella protothecoides var. galactophila Unknown authority 0 [SEP] Chlorella protothecoides Krüger 1894 [SEP] Chlorella protothecoides var. galactophila Shihira & R.W.Krauss 1965 [SEP] Palmellococcus protothecoides (Krüger) Chodat 1909"
680522,Auxenochlorella pyrenoidosa,"[CANON_LAT] Auxenochlorella pyrenoidosa
[SYN_UNK] Chlorella pyrenoidosa H.Chick 1903"
680547,Avena sativa L.,[CANON_LAT] Avena sativa L.
680585,Backhousia citriodora,[CANON_LAT] Backhousia citriodora
680611,Bacopa monnieri,"[CANON_LAT] Bacopa monnieri
[SYN_LAT] Allocalyx microphylla Cordem."
680672,Bactris gasipaes,[CANON_LAT] Bactris gasipaes
680697,Bactris major,[CANON_LAT] Bactris major
680729,Bambusa vulgaris Schrad. ex J.C.Wendl.,[CANON_LAT] Bambusa vulgaris Schrad. ex J.C.Wendl.
680754,Barosma betulina,[CANON_LAT] Barosma betulina
680779,Basella alba,[CANON_LAT] Basella alba
